id,session_id,total_events,started_at,finished_at,inserted_at
1000020357239,1000000171050,1,2019-01-05 00:51:50.746000000,2019-01-05 00:51:50.746000000,2019-01-05 00:51:55.167000000
1000020357243,1000000171008,14,2019-01-05 00:51:50.736000000,2019-01-05 00:52:26.850000000,2019-01-05 00:52:30.244000000
1000020357244,1000000172009,1,2019-01-05 00:51:50.712000000,2019-01-05 00:51:50.712000000,2019-01-05 00:51:55.136000000
1000020357246,1000000171043,1,2019-01-05 00:51:50.771000000,2019-01-05 00:51:50.771000000,2019-01-05 00:51:55.280000000
1000020357249,1000000169042,2,2019-01-05 00:51:51.300000000,2019-01-05 00:51:51.960000000,2019-01-05 00:51:55.183000000
1000020357254,1000000156955,1,2019-01-05 00:51:51.200000000,2019-01-05 00:51:51.200000000,2019-01-05 00:51:55.183000000
1000020357261,1000000162986,1,2019-01-05 00:51:48.880000000,2019-01-05 00:51:48.880000000,2019-01-05 00:51:50.450000000
1000020357262,1000000165802,1,2019-01-05 00:51:51.700000000,2019-01-05 00:51:51.700000000,2019-01-05 00:51:55.890000000
1000020357272,1000000156932,1,2019-01-05 00:51:52.464000000,2019-01-05 00:51:52.464000000,2019-01-05 00:51:55.223000000
1000020357274,1000000167866,1,2019-01-05 00:51:52.500000000,2019-01-05 00:51:52.500000000,2019-01-05 00:51:55.185000000
1000020357281,1000000162951,1,2019-01-05 00:51:53.162000000,2019-01-05 00:51:53.162000000,2019-01-05 00:51:55.186000000
1000020357282,1000000169090,1,2019-01-05 00:51:53.130000000,2019-01-05 00:51:53.130000000,2019-01-05 00:51:55.980000000
1000020357286,1000000165872,1,2019-01-05 00:51:53.587000000,2019-01-05 00:51:53.587000000,2019-01-05 00:51:55.186000000
1000020357292,1000000167862,1,2019-01-05 00:51:54.192000000,2019-01-05 00:51:54.192000000,2019-01-05 00:51:55.274000000
1000020357293,1000000171048,1,2019-01-05 00:51:51.529000000,2019-01-05 00:51:51.529000000,2019-01-05 00:51:55.950000000
1000020357300,1000000156947,2,2019-01-05 00:51:52.319000000,2019-01-05 00:51:55.700000000,2019-01-05 00:52:00.218000000
1000020357301,1000000166971,1,2019-01-05 00:51:54.999000000,2019-01-05 00:51:54.999000000,2019-01-05 00:52:00.260000000
1000020357302,1000000175010,1,2019-01-05 00:51:55.700000000,2019-01-05 00:51:55.700000000,2019-01-05 00:52:00.320000000
1000020357305,1000000164926,1,2019-01-05 00:51:55.285000000,2019-01-05 00:51:55.285000000,2019-01-05 00:52:00.640000000
1000020357318,1000000163958,1,2019-01-05 00:51:55.803000000,2019-01-05 00:51:55.803000000,2019-01-05 00:52:00.219000000
1000020357319,1000000168753,1,2019-01-05 00:51:55.953000000,2019-01-05 00:51:55.953000000,2019-01-05 00:52:00.220000000
1000020357320,1000000170087,1,2019-01-05 00:51:55.646000000,2019-01-05 00:51:55.646000000,2019-01-05 00:52:00.105000000
1000020357321,1000000158997,1,2019-01-05 00:51:55.950000000,2019-01-05 00:51:55.950000000,2019-01-05 00:52:00.280000000
1000020357322,1000000162947,1,2019-01-05 00:51:56.271000000,2019-01-05 00:51:56.271000000,2019-01-05 00:52:00.660000000
1000020357326,1000000156920,1,2019-01-05 00:51:56.326000000,2019-01-05 00:51:56.326000000,2019-01-05 00:52:00.660000000
1000020357333,1000000169061,1,2019-01-05 00:51:58.785000000,2019-01-05 00:51:58.785000000,2019-01-05 00:52:00.185000000
